Date,Time,Object,Confidence,X1,Y1,X2,Y2
2026-07-07,06:15:07,person,0.94,92,13,638,473
2026-07-07,06:15:07,person,0.95,85,11,638,474
2026-07-07,06:15:07,person,0.95,84,11,639,474
2026-07-07,06:15:08,person,0.95,81,11,638,474
2026-07-07,06:15:08,person,0.95,85,12,638,474
2026-07-07,06:15:08,person,0.95,82,12,638,474
2026-07-07,06:15:08,person,0.95,83,11,638,474
2026-07-07,06:15:09,person,0.95,83,11,638,474
2026-07-07,06:15:09,person,0.95,83,12,638,474
2026-07-07,06:15:09,person,0.95,84,11,638,474
2026-07-07,06:15:09,person,0.95,81,12,638,474
2026-07-07,06:15:10,person,0.95,82,12,638,474
2026-07-07,06:15:10,person,0.95,80,11,638,474
2026-07-07,06:15:10,person,0.95,84,11,638,474
2026-07-07,06:15:10,person,0.95,84,11,638,474
2026-07-07,06:15:10,person,0.95,83,11,638,474
2026-07-07,06:15:11,person,0.95,82,11,638,474
2026-07-07,06:15:11,person,0.95,85,11,638,474
2026-07-07,06:15:11,person,0.94,86,11,638,474
2026-07-07,06:15:11,person,0.95,84,11,638,474
2026-07-07,06:15:12,person,0.95,84,12,638,474
2026-07-07,06:15:12,person,0.96,82,11,638,474
2026-07-07,06:15:12,person,0.95,84,11,638,474
2026-07-07,06:15:12,person,0.95,83,10,638,475
2026-07-07,06:15:12,person,0.95,88,11,639,474
2026-07-07,06:15:13,person,0.95,89,12,638,474
2026-07-07,06:15:13,person,0.95,88,11,638,474
2026-07-07,06:15:13,person,0.95,89,12,638,474
2026-07-07,06:15:13,person,0.95,86,12,639,474
2026-07-07,06:15:14,person,0.95,85,11,638,474
2026-07-07,06:15:14,person,0.95,87,11,638,474
2026-07-07,06:15:14,person,0.96,84,11,638,474
2026-07-07,06:15:14,person,0.95,87,11,639,474
2026-07-07,06:15:14,person,0.95,84,11,638,474
2026-07-07,06:15:15,person,0.95,83,11,638,474
2026-07-07,06:15:15,person,0.95,84,11,638,474
2026-07-07,06:15:15,person,0.95,86,10,639,474
2026-07-07,06:15:15,person,0.95,86,11,639,474
2026-07-07,06:15:16,person,0.95,89,12,639,474
2026-07-07,06:15:16,person,0.95,87,11,638,474
2026-07-07,06:15:16,person,0.95,83,11,639,474
2026-07-07,06:15:16,person,0.95,86,11,638,474
2026-07-07,06:15:16,person,0.95,86,11,638,474
2026-07-07,06:15:17,person,0.95,85,11,638,474
2026-07-07,06:15:17,person,0.95,85,11,639,474
2026-07-07,06:15:17,person,0.94,87,11,639,475
2026-07-07,06:15:17,person,0.94,101,13,639,474
2026-07-07,06:15:18,person,0.94,136,20,640,475
2026-07-07,06:15:18,person,0.95,187,22,639,474
2026-07-07,06:15:18,person,0.95,166,27,639,474
2026-07-07,06:15:18,person,0.94,146,36,640,474
2026-07-07,06:15:18,person,0.94,151,40,639,474
2026-07-07,06:15:19,person,0.93,158,40,640,474
2026-07-07,06:15:19,person,0.93,175,41,639,477
2026-07-07,06:15:19,person,0.95,166,40,639,474
2026-07-07,06:15:19,person,0.93,223,38,639,475
2026-07-07,06:15:20,person,0.93,278,31,639,474
2026-07-07,06:15:20,person,0.95,298,27,639,475
2026-07-07,06:15:20,person,0.95,288,21,639,474
2026-07-07,06:15:20,person,0.95,283,22,639,474
2026-07-07,06:15:20,person,0.93,278,17,639,474
2026-07-07,06:15:21,person,0.94,321,22,639,475
2026-07-07,06:15:21,person,0.94,255,39,639,474
2026-07-07,06:15:21,person,0.95,241,50,639,474
2026-07-07,06:15:21,person,0.94,247,51,639,474
2026-07-07,06:15:21,person,0.86,342,49,639,474
2026-07-07,06:15:22,person,0.9,226,43,639,476
2026-07-07,06:15:22,person,0.92,199,29,639,476
2026-07-07,06:15:22,person,0.89,192,23,639,474
2026-07-07,06:15:22,cat,0.67,205,44,639,474
2026-07-07,06:15:23,cat,0.71,304,68,639,471
2026-07-07,06:15:23,person,0.92,324,66,639,475
2026-07-07,06:15:23,person,0.92,301,59,639,473
2026-07-07,06:15:24,person,0.93,280,51,639,473
2026-07-07,06:15:24,person,0.94,283,50,639,474
2026-07-07,06:15:24,person,0.93,283,61,639,474
2026-07-07,06:15:24,person,0.92,291,78,639,474
2026-07-07,06:15:25,person,0.73,303,81,639,476
2026-07-07,06:15:25,person,0.82,121,81,639,477
2026-07-07,06:15:25,person,0.83,318,106,639,474
2026-07-07,06:15:25,person,0.9,326,112,639,476
2026-07-07,06:15:25,person,0.77,194,136,639,475
2026-07-07,06:15:26,person,0.89,150,124,638,474
2026-07-07,06:15:26,person,0.87,133,128,639,474
